 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   lineSetDevConfigA                                 0x41c8c6b3       0x0000c6b3      191 (0xbf)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetDevConfigW                                 0x41c8c645       0x0000c645      192 (0xc0)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetLineDevStatus                              0x41c8c717       0x0000c717      193 (0xc1)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetMediaControl                               0x41c8c77e       0x0000c77e      194 (0xc2)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetMediaMode                                  0x41c8c8aa       0x0000c8aa      195 (0xc3)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetNumRings                                   0x41c8c90f       0x0000c90f      196 (0xc4)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetQueueMeasurementPeriod                     0x41c8c976       0x0000c976      197 (0xc5)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetStatusMessages                             0x41c8c9dd       0x0000c9dd      198 (0xc6)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetTerminal                                   0x41c8ca44       0x0000ca44      199 (0xc7)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetTollList                                   0x41ca220b       0x0002220b      200 (0xc8)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetTollListA                                  0x41ca2156       0x00022156      201 (0xc9)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetTollListW                                  0x41ca1707       0x00021707      202 (0xca)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetupConference                               0x41c8cd73       0x0000cd73      203 (0xcb)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetupConferenceA                              0x41c8cc1e       0x0000cc1e      204 (0xcc)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetupConferenceW                              0x41c8cace       0x0000cace      205 (0xcd)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetupTransfer                                 0x41c8cf46       0x0000cf46      206 (0xce)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetupTransferA                                0x41c8ce62       0x0000ce62      207 (0xcf)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetupTransferW                                0x41c8cd83       0x0000cd83      208 (0xd0)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineShutdown                                      0x41c912eb       0x000112eb      209 (0xd1)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSwapHold                                      0x41c8cf56       0x0000cf56      210 (0xd2)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineTranslateAddress                              0x41ca210b       0x0002210b      211 (0xd3)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineTranslateAddressA                             0x41ca201c       0x0002201c      212 (0xd4)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineTranslateAddressW                             0x41ca1322       0x00021322      213 (0xd5)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineTranslateDialog                               0x41ca0e17       0x00020e17      214 (0xd6)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineTranslateDialogA                              0x41ca0cea       0x00020cea      215 (0xd7)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineTranslateDialogW                              0x41c9fa32       0x0001fa32      216 (0xd8)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineUncompleteCall                                0x41c8cfbb       0x0000cfbb      217 (0xd9)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineUnhold                                        0x41c8d020       0x0000d020      218 (0xda)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

